time,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,ozone
2026-02-14 00:00:00,99.9,90.8,2692.0,57.2,30.0
2026-02-14 01:00:00,94.1,84.5,2670.0,44.3,40.0
2026-02-14 02:00:00,88.9,80.1,2510.0,34.4,47.0
2026-02-14 03:00:00,88.2,80.1,2109.0,30.0,48.0
2026-02-14 04:00:00,90.3,83.4,1571.0,28.6,47.0
2026-02-14 05:00:00,94.5,88.2,1215.0,29.6,45.0
2026-02-14 06:00:00,100.4,94.8,1253.0,35.4,38.0
2026-02-14 07:00:00,113.9,108.5,1474.0,43.7,31.0
2026-02-14 08:00:00,111.5,108.3,1562.0,46.7,39.0
2026-02-14 09:00:00,100.4,98.0,1348.0,39.2,76.0
2026-02-14 10:00:00,79.9,77.5,1002.0,26.4,127.0
2026-02-14 11:00:00,66.1,64.3,715.0,16.0,166.0
2026-02-14 12:00:00,53.6,51.8,556.0,10.7,180.0
2026-02-14 13:00:00,41.0,39.1,456.0,7.7,181.0
2026-02-14 14:00:00,36.7,34.2,401.0,6.7,176.0
2026-02-14 15:00:00,35.2,32.1,382.0,7.4,167.0
2026-02-14 16:00:00,34.6,31.7,408.0,10.1,152.0
2026-02-14 17:00:00,37.1,34.6,489.0,14.8,135.0
2026-02-14 18:00:00,48.1,45.2,666.0,23.6,113.0
2026-02-14 19:00:00,60.8,54.8,899.0,34.5,88.0
2026-02-14 20:00:00,74.0,60.3,1075.0,41.5,70.0
2026-02-14 21:00:00,88.9,64.3,1149.0,41.3,64.0
2026-02-14 22:00:00,101.3,68.7,1167.0,37.3,64.0
2026-02-14 23:00:00,104.8,71.2,1154.0,33.2,65.0
2026-02-15 00:00:00,100.4,71.2,1103.0,29.8,65.0
2026-02-15 01:00:00,95.7,71.9,1020.0,26.4,66.0
2026-02-15 02:00:00,94.3,74.0,950.0,24.3,65.0
2026-02-15 03:00:00,95.0,78.0,879.0,24.2,61.0
2026-02-15 04:00:00,96.2,82.0,821.0,25.4,55.0
2026-02-15 05:00:00,96.9,85.9,858.0,27.5,50.0
2026-02-15 06:00:00,94.1,86.8,1116.0,32.0,44.0
2026-02-15 07:00:00,96.2,91.3,1470.0,37.5,40.0
2026-02-15 08:00:00,93.8,91.0,1630.0,39.0,49.0
2026-02-15 09:00:00,88.9,86.8,1407.0,33.1,82.0
2026-02-15 10:00:00,77.1,74.7,989.0,23.2,128.0
2026-02-15 11:00:00,62.2,59.3,654.0,15.0,162.0
2026-02-15 12:00:00,44.4,40.5,510.0,10.1,172.0
2026-02-15 13:00:00,36.7,31.3,448.0,6.9,170.0
2026-02-15 14:00:00,34.3,27.8,424.0,5.7,164.0
2026-02-15 15:00:00,33.5,26.3,413.0,6.1,156.0
2026-02-15 16:00:00,33.1,26.1,440.0,8.6,144.0
2026-02-15 17:00:00,35.6,29.7,531.0,14.4,128.0
2026-02-15 18:00:00,45.9,40.7,688.0,26.5,105.0
2026-02-15 19:00:00,60.5,54.2,910.0,42.0,79.0
2026-02-15 20:00:00,75.2,65.2,1211.0,53.5,58.0
2026-02-15 21:00:00,91.7,73.3,1693.0,57.9,47.0
2026-02-15 22:00:00,111.3,81.0,2256.0,58.4,41.0
2026-02-15 23:00:00,129.0,87.8,2613.0,57.3,37.0
2026-02-16 00:00:00,139.7,91.0,2614.0,54.3,36.0
2026-02-16 01:00:00,145.8,93.4,2409.0,49.7,36.0
2026-02-16 02:00:00,147.6,95.0,2166.0,47.0,36.0
2026-02-16 03:00:00,148.1,97.3,1874.0,47.8,32.0
2026-02-16 04:00:00,148.1,101.5,1543.0,50.4,26.0
2026-02-16 05:00:00,149.9,108.3,1377.0,53.1,23.0
2026-02-16 06:00:00,153.2,116.6,1571.0,56.7,20.0
2026-02-16 07:00:00,158.8,127.6,1929.0,60.5,20.0
2026-02-16 08:00:00,138.8,122.5,2064.0,59.7,34.0
2026-02-16 09:00:00,117.8,105.5,1738.0,50.9,76.0
2026-02-16 10:00:00,96.6,84.5,1190.0,37.6,133.0
2026-02-16 11:00:00,73.1,62.2,748.0,26.2,175.0
2026-02-16 12:00:00,51.8,41.6,540.0,18.2,191.0
2026-02-16 13:00:00,45.9,36.0,438.0,12.0,193.0
2026-02-16 14:00:00,42.8,32.9,391.0,9.0,187.0
2026-02-16 15:00:00,40.9,31.0,380.0,8.6,175.0
2026-02-16 16:00:00,39.7,30.2,424.0,11.5,155.0
2026-02-16 17:00:00,45.1,36.8,527.0,21.0,130.0
2026-02-16 18:00:00,65.7,58.3,724.0,43.2,97.0
2026-02-16 19:00:00,85.7,78.2,980.0,72.0,60.0
2026-02-16 20:00:00,102.7,94.8,1190.0,92.4,32.0
2026-02-16 21:00:00,118.5,110.8,1321.0,97.8,21.0
2026-02-16 22:00:00,129.0,121.1,1405.0,94.7,20.0
2026-02-16 23:00:00,125.7,118.5,1439.0,87.9,22.0
2026-02-17 00:00:00,112.0,106.2,1405.0,76.3,28.0
2026-02-17 01:00:00,102.7,97.3,1319.0,60.9,37.0
2026-02-17 02:00:00,99.2,94.3,1230.0,49.3,43.0
2026-02-17 03:00:00,99.7,95.0,1112.0,44.4,40.0
2026-02-17 04:00:00,102.4,98.0,989.0,43.3,34.0
2026-02-17 05:00:00,105.9,101.7,983.0,44.2,30.0
2026-02-17 06:00:00,110.4,105.7,1243.0,49.1,25.0
2026-02-17 07:00:00,122.9,117.6,1620.0,56.1,22.0
2026-02-17 08:00:00,125.3,120.6,1788.0,57.9,36.0
2026-02-17 09:00:00,112.0,108.7,1541.0,49.5,83.0
2026-02-17 10:00:00,99.0,94.1,1086.0,35.8,148.0
2026-02-17 11:00:00,77.3,70.5,713.0,24.4,197.0
2026-02-17 12:00:00,61.2,53.1,533.0,17.4,217.0
2026-02-17 13:00:00,56.1,47.1,436.0,12.7,221.0
2026-02-17 14:00:00,53.2,43.7,386.0,10.9,218.0
2026-02-17 15:00:00,51.3,41.2,348.0,11.6,210.0
2026-02-17 16:00:00,50.9,40.7,358.0,15.2,194.0
2026-02-17 17:00:00,58.0,49.1,488.0,24.4,171.0
2026-02-17 18:00:00,83.8,75.9,843.0,44.9,135.0
2026-02-17 19:00:00,101.0,93.4,1319.0,70.9,92.0
